funcid,dim,milestone,error
12,10,1,5.096122e+06
12,10,2,1.976342e+06
12,10,3,1.237851e+06
12,10,5,6.089433e+05
12,10,10,2.951405e+05
12,10,20,1.022465e+05
12,10,30,1.204584e+04
12,10,40,1.204584e+04
12,10,50,1.204584e+04
12,10,60,1.204584e+04
12,10,70,1.204584e+04
12,10,80,1.204584e+04
12,10,90,1.204584e+04
12,10,100,1.204584e+04
12,10,1,5.581314e+06
12,10,2,3.431668e+06
12,10,3,3.237598e+06
12,10,5,2.497869e+06
12,10,10,7.730977e+05
12,10,20,1.858658e+05
12,10,30,1.097768e+04
12,10,40,1.097768e+04
12,10,50,8.398987e+03
12,10,60,8.398987e+03
12,10,70,8.398987e+03
12,10,80,8.398987e+03
12,10,90,8.398987e+03
12,10,100,8.398987e+03
12,10,1,1.137037e+06
12,10,2,6.384949e+05
12,10,3,4.231197e+05
12,10,5,2.235100e+05
12,10,10,1.344964e+05
12,10,20,1.344964e+05
12,10,30,1.344964e+05
12,10,40,7.417851e+04
12,10,50,7.417851e+04
12,10,60,7.417851e+04
12,10,70,7.417851e+04
12,10,80,2.507174e+04
12,10,90,2.507174e+04
12,10,100,2.507174e+04
12,10,1,2.932192e+06
12,10,2,1.663887e+06
12,10,3,1.199685e+06
12,10,5,8.027316e+05
12,10,10,2.330392e+05
12,10,20,2.330392e+05
12,10,30,2.330392e+05
12,10,40,2.330392e+05
12,10,50,2.304326e+05
12,10,60,2.304326e+05
12,10,70,1.620012e+05
12,10,80,1.620012e+05
12,10,90,1.147146e+05
12,10,100,1.147146e+05
12,10,1,1.062370e+07
12,10,2,9.144648e+06
12,10,3,5.394088e+06
12,10,5,2.435177e+06
12,10,10,6.237043e+05
12,10,20,6.237043e+05
12,10,30,6.237043e+05
12,10,40,2.913114e+05
12,10,50,2.890561e+05
12,10,60,2.792526e+05
12,10,70,2.792526e+05
12,10,80,2.452962e+04
12,10,90,2.452962e+04
12,10,100,2.452962e+04
12,10,1,5.047577e+06
12,10,2,5.047577e+06
12,10,3,5.047577e+06
12,10,5,3.609443e+06
12,10,10,8.246847e+05
12,10,20,1.496554e+05
12,10,30,1.469266e+05
12,10,40,1.068825e+05
12,10,50,1.068825e+05
12,10,60,1.068825e+05
12,10,70,3.632067e+04
12,10,80,3.632067e+04
12,10,90,2.081143e+04
12,10,100,2.081143e+04
12,10,1,3.854551e+06
12,10,2,2.994709e+06
12,10,3,2.351595e+06
12,10,5,1.208084e+06
12,10,10,2.775674e+05
12,10,20,6.155372e+04
12,10,30,3.125522e+04
12,10,40,3.125522e+04
12,10,50,3.125522e+04
12,10,60,9.825880e+03
12,10,70,9.825880e+03
12,10,80,9.825880e+03
12,10,90,9.825880e+03
12,10,100,9.825880e+03
12,10,1,2.350300e+06
12,10,2,8.869557e+05
12,10,3,2.743145e+05
12,10,5,6.965435e+04
12,10,10,1.186663e+04
12,10,20,1.186663e+04
12,10,30,1.186663e+04
12,10,40,1.186663e+04
12,10,50,1.186663e+04
12,10,60,1.186663e+04
12,10,70,1.186663e+04
12,10,80,1.186663e+04
12,10,90,1.186663e+04
12,10,100,1.186663e+04
12,10,1,1.432983e+06
12,10,2,1.047282e+06
12,10,3,8.583028e+05
12,10,5,3.287786e+05
12,10,10,7.560221e+04
12,10,20,3.217075e+04
12,10,30,3.217075e+04
12,10,40,3.217075e+04
12,10,50,3.217075e+04
12,10,60,3.217075e+04
12,10,70,3.217075e+04
12,10,80,3.217075e+04
12,10,90,3.217075e+04
12,10,100,2.735124e+04
12,10,1,1.407076e+06
12,10,2,1.351142e+06
12,10,3,3.916440e+05
12,10,5,1.799398e+05
12,10,10,4.696187e+04
12,10,20,3.613577e+04
12,10,30,3.613577e+04
12,10,40,1.031614e+04
12,10,50,1.031614e+04
12,10,60,1.031614e+04
12,10,70,1.031614e+04
12,10,80,1.031614e+04
12,10,90,1.031614e+04
12,10,100,1.031614e+04
