funcid,dim,milestone,error
1,50,1,3.814769e+08
1,50,2,7.491111e+06
1,50,3,1.906304e+06
1,50,5,6.852989e+05
1,50,10,1.612187e+05
1,50,20,4.074387e+04
1,50,30,1.615867e+04
1,50,40,1.290499e+04
1,50,50,1.083239e+04
1,50,60,7.965455e+03
1,50,70,7.224030e+03
1,50,80,6.834210e+03
1,50,90,5.922891e+03
1,50,100,5.922891e+03
1,50,1,1.835205e+08
1,50,2,1.260184e+07
1,50,3,2.955031e+06
1,50,5,9.927990e+05
1,50,10,1.568259e+05
1,50,20,4.003030e+04
1,50,30,2.240037e+04
1,50,40,1.558449e+04
1,50,50,1.248131e+04
1,50,60,9.506175e+03
1,50,70,8.608652e+03
1,50,80,8.608652e+03
1,50,90,8.455986e+03
1,50,100,8.174073e+03
1,50,1,1.745532e+08
1,50,2,7.925056e+06
1,50,3,3.498249e+06
1,50,5,5.780698e+05
1,50,10,2.140805e+05
1,50,20,4.293707e+04
1,50,30,1.990201e+04
1,50,40,9.252723e+03
1,50,50,5.382622e+03
1,50,60,3.769320e+03
1,50,70,3.769320e+03
1,50,80,2.024937e+03
1,50,90,2.024937e+03
1,50,100,1.802723e+03
1,50,1,2.957560e+08
1,50,2,9.530214e+06
1,50,3,1.831314e+06
1,50,5,6.411369e+05
1,50,10,2.256424e+05
1,50,20,4.735403e+04
1,50,30,1.890053e+04
1,50,40,1.025550e+04
1,50,50,1.025550e+04
1,50,60,8.807692e+03
1,50,70,8.807692e+03
1,50,80,7.720325e+03
1,50,90,7.263236e+03
1,50,100,7.263236e+03
1,50,1,2.009107e+08
1,50,2,9.759042e+06
1,50,3,2.097776e+06
1,50,5,1.020596e+06
1,50,10,1.082413e+05
1,50,20,3.922911e+04
1,50,30,7.703970e+03
1,50,40,6.810556e+03
1,50,50,6.810556e+03
1,50,60,4.226023e+03
1,50,70,3.757884e+03
1,50,80,2.536830e+03
1,50,90,1.327759e+03
1,50,100,1.303861e+03
1,50,1,3.789460e+08
1,50,2,4.477323e+06
1,50,3,2.759407e+06
1,50,5,5.052468e+05
1,50,10,1.814287e+05
1,50,20,3.387053e+04
1,50,30,1.818190e+04
1,50,40,1.494404e+04
1,50,50,1.436918e+04
1,50,60,1.358994e+04
1,50,70,1.110979e+04
1,50,80,1.110979e+04
1,50,90,1.067317e+04
1,50,100,1.032320e+04
1,50,1,2.811863e+08
1,50,2,9.560559e+06
1,50,3,2.873575e+06
1,50,5,9.746463e+05
1,50,10,1.691354e+05
1,50,20,5.001750e+04
1,50,30,4.384400e+04
1,50,40,3.601721e+04
1,50,50,3.560686e+04
1,50,60,3.426336e+04
1,50,70,3.326465e+04
1,50,80,3.155703e+04
1,50,90,3.155703e+04
1,50,100,3.155703e+04
1,50,1,4.336017e+08
1,50,2,4.842236e+06
1,50,3,2.855724e+06
1,50,5,7.356679e+05
1,50,10,1.975872e+05
1,50,20,2.811177e+04
1,50,30,1.111553e+04
1,50,40,8.922686e+03
1,50,50,6.394622e+03
1,50,60,4.886031e+03
1,50,70,2.933221e+03
1,50,80,2.574243e+03
1,50,90,2.460466e+03
1,50,100,2.303489e+03
1,50,1,3.847620e+08
1,50,2,1.314813e+07
1,50,3,1.616402e+06
1,50,5,8.554628e+05
1,50,10,1.782922e+05
1,50,20,2.776407e+04
1,50,30,9.143212e+03
1,50,40,9.143212e+03
1,50,50,5.313156e+03
1,50,60,3.265227e+03
1,50,70,2.852727e+03
1,50,80,2.852727e+03
1,50,90,2.794119e+03
1,50,100,2.794119e+03
1,50,1,1.400393e+08
1,50,2,9.790031e+06
1,50,3,1.560687e+06
1,50,5,7.596034e+05
1,50,10,9.438943e+04
1,50,20,2.941308e+04
1,50,30,2.124212e+04
1,50,40,9.635286e+03
1,50,50,5.920526e+03
1,50,60,5.290025e+03
1,50,70,4.559214e+03
1,50,80,3.828223e+03
1,50,90,3.765953e+03
1,50,100,3.385523e+03
