funcid,dim,milestone,error
25,100,1,3.888425e+03
25,100,2,1.567930e+03
25,100,3,1.163424e+03
25,100,5,9.735180e+02
25,100,10,8.916129e+02
25,100,20,7.929217e+02
25,100,30,7.590859e+02
25,100,40,7.450698e+02
25,100,50,7.403775e+02
25,100,60,7.396850e+02
25,100,70,7.395623e+02
25,100,80,7.395284e+02
25,100,90,7.395098e+02
25,100,100,7.394979e+02
25,100,1,3.888425e+03
25,100,2,1.567930e+03
25,100,3,1.163424e+03
25,100,5,9.735180e+02
25,100,10,8.916129e+02
25,100,20,7.929217e+02
25,100,30,7.590859e+02
25,100,40,7.450698e+02
25,100,50,7.403775e+02
25,100,60,7.396850e+02
25,100,70,7.395623e+02
25,100,80,7.395284e+02
25,100,90,7.395098e+02
25,100,100,7.394979e+02
25,100,1,3.888425e+03
25,100,2,1.567930e+03
25,100,3,1.163424e+03
25,100,5,9.735180e+02
25,100,10,8.916129e+02
25,100,20,7.929217e+02
25,100,30,7.590859e+02
25,100,40,7.450698e+02
25,100,50,7.403775e+02
25,100,60,7.396850e+02
25,100,70,7.395623e+02
25,100,80,7.395284e+02
25,100,90,7.395098e+02
25,100,100,7.394979e+02
25,100,1,3.888425e+03
25,100,2,1.567930e+03
25,100,3,1.163424e+03
25,100,5,9.735180e+02
25,100,10,8.916129e+02
25,100,20,7.929217e+02
25,100,30,7.590859e+02
25,100,40,7.450698e+02
25,100,50,7.403775e+02
25,100,60,7.396850e+02
25,100,70,7.395623e+02
25,100,80,7.395284e+02
25,100,90,7.395098e+02
25,100,100,7.394979e+02
25,100,1,3.888425e+03
25,100,2,1.567930e+03
25,100,3,1.163424e+03
25,100,5,9.735180e+02
25,100,10,8.916129e+02
25,100,20,7.929217e+02
25,100,30,7.590859e+02
25,100,40,7.450698e+02
25,100,50,7.403775e+02
25,100,60,7.396850e+02
25,100,70,7.395623e+02
25,100,80,7.395284e+02
25,100,90,7.395098e+02
25,100,100,7.394979e+02
25,100,1,3.888425e+03
25,100,2,1.567930e+03
25,100,3,1.163424e+03
25,100,5,9.735180e+02
25,100,10,8.916129e+02
25,100,20,7.929217e+02
25,100,30,7.590859e+02
25,100,40,7.450698e+02
25,100,50,7.403775e+02
25,100,60,7.396850e+02
25,100,70,7.395623e+02
25,100,80,7.395284e+02
25,100,90,7.395098e+02
25,100,100,7.394979e+02
25,100,1,3.888425e+03
25,100,2,1.567930e+03
25,100,3,1.163424e+03
25,100,5,9.735180e+02
25,100,10,8.916129e+02
25,100,20,7.929217e+02
25,100,30,7.590859e+02
25,100,40,7.450698e+02
25,100,50,7.403775e+02
25,100,60,7.396850e+02
25,100,70,7.395623e+02
25,100,80,7.395284e+02
25,100,90,7.395098e+02
25,100,100,7.394979e+02
25,100,1,3.888425e+03
25,100,2,1.567930e+03
25,100,3,1.163424e+03
25,100,5,9.735180e+02
25,100,10,8.916129e+02
25,100,20,7.929217e+02
25,100,30,7.590859e+02
25,100,40,7.450698e+02
25,100,50,7.403775e+02
25,100,60,7.396850e+02
25,100,70,7.395623e+02
25,100,80,7.395284e+02
25,100,90,7.395098e+02
25,100,100,7.394979e+02
25,100,1,3.888425e+03
25,100,2,1.567930e+03
25,100,3,1.163424e+03
25,100,5,9.735180e+02
25,100,10,8.916129e+02
25,100,20,7.929217e+02
25,100,30,7.590859e+02
25,100,40,7.450698e+02
25,100,50,7.403775e+02
25,100,60,7.396850e+02
25,100,70,7.395623e+02
25,100,80,7.395284e+02
25,100,90,7.395098e+02
25,100,100,7.394979e+02
25,100,1,3.888425e+03
25,100,2,1.567930e+03
25,100,3,1.163424e+03
25,100,5,9.735180e+02
25,100,10,8.916129e+02
25,100,20,7.929217e+02
25,100,30,7.590859e+02
25,100,40,7.450698e+02
25,100,50,7.403775e+02
25,100,60,7.396850e+02
25,100,70,7.395623e+02
25,100,80,7.395284e+02
25,100,90,7.395098e+02
25,100,100,7.394979e+02
