funcid,dim,milestone,error
5,100,1,1.501682e+03
5,100,2,1.501682e+03
5,100,3,1.501682e+03
5,100,5,1.501682e+03
5,100,10,1.501682e+03
5,100,20,1.501682e+03
5,100,30,1.501682e+03
5,100,40,1.501682e+03
5,100,50,1.501682e+03
5,100,60,1.501682e+03
5,100,70,1.501682e+03
5,100,80,1.501682e+03
5,100,90,1.501682e+03
5,100,100,1.501682e+03
5,100,1,1.501682e+03
5,100,2,1.501682e+03
5,100,3,1.501682e+03
5,100,5,1.501682e+03
5,100,10,1.501682e+03
5,100,20,1.501682e+03
5,100,30,1.501682e+03
5,100,40,1.501682e+03
5,100,50,1.501682e+03
5,100,60,1.501682e+03
5,100,70,1.501682e+03
5,100,80,1.501682e+03
5,100,90,1.501682e+03
5,100,100,1.501682e+03
5,100,1,1.501682e+03
5,100,2,1.501682e+03
5,100,3,1.501682e+03
5,100,5,1.501682e+03
5,100,10,1.501682e+03
5,100,20,1.501682e+03
5,100,30,1.501682e+03
5,100,40,1.501682e+03
5,100,50,1.501682e+03
5,100,60,1.501682e+03
5,100,70,1.501682e+03
5,100,80,1.501682e+03
5,100,90,1.501682e+03
5,100,100,1.501682e+03
5,100,1,1.501682e+03
5,100,2,1.501682e+03
5,100,3,1.501682e+03
5,100,5,1.501682e+03
5,100,10,1.501682e+03
5,100,20,1.501682e+03
5,100,30,1.501682e+03
5,100,40,1.501682e+03
5,100,50,1.501682e+03
5,100,60,1.501682e+03
5,100,70,1.501682e+03
5,100,80,1.501682e+03
5,100,90,1.501682e+03
5,100,100,1.501682e+03
5,100,1,1.501682e+03
5,100,2,1.501682e+03
5,100,3,1.501682e+03
5,100,5,1.501682e+03
5,100,10,1.501682e+03
5,100,20,1.501682e+03
5,100,30,1.501682e+03
5,100,40,1.501682e+03
5,100,50,1.501682e+03
5,100,60,1.501682e+03
5,100,70,1.501682e+03
5,100,80,1.501682e+03
5,100,90,1.501682e+03
5,100,100,1.501682e+03
5,100,1,1.501682e+03
5,100,2,1.501682e+03
5,100,3,1.501682e+03
5,100,5,1.501682e+03
5,100,10,1.501682e+03
5,100,20,1.501682e+03
5,100,30,1.501682e+03
5,100,40,1.501682e+03
5,100,50,1.501682e+03
5,100,60,1.501682e+03
5,100,70,1.501682e+03
5,100,80,1.501682e+03
5,100,90,1.501682e+03
5,100,100,1.501682e+03
5,100,1,1.501682e+03
5,100,2,1.501682e+03
5,100,3,1.501682e+03
5,100,5,1.501682e+03
5,100,10,1.501682e+03
5,100,20,1.501682e+03
5,100,30,1.501682e+03
5,100,40,1.501682e+03
5,100,50,1.501682e+03
5,100,60,1.501682e+03
5,100,70,1.501682e+03
5,100,80,1.501682e+03
5,100,90,1.501682e+03
5,100,100,1.501682e+03
5,100,1,1.501682e+03
5,100,2,1.501682e+03
5,100,3,1.501682e+03
5,100,5,1.501682e+03
5,100,10,1.501682e+03
5,100,20,1.501682e+03
5,100,30,1.501682e+03
5,100,40,1.501682e+03
5,100,50,1.501682e+03
5,100,60,1.501682e+03
5,100,70,1.501682e+03
5,100,80,1.501682e+03
5,100,90,1.501682e+03
5,100,100,1.501682e+03
5,100,1,1.501682e+03
5,100,2,1.501682e+03
5,100,3,1.501682e+03
5,100,5,1.501682e+03
5,100,10,1.501682e+03
5,100,20,1.501682e+03
5,100,30,1.501682e+03
5,100,40,1.501682e+03
5,100,50,1.501682e+03
5,100,60,1.501682e+03
5,100,70,1.501682e+03
5,100,80,1.501682e+03
5,100,90,1.501682e+03
5,100,100,1.501682e+03
5,100,1,1.501682e+03
5,100,2,1.501682e+03
5,100,3,1.501682e+03
5,100,5,1.501682e+03
5,100,10,1.501682e+03
5,100,20,1.501682e+03
5,100,30,1.501682e+03
5,100,40,1.501682e+03
5,100,50,1.501682e+03
5,100,60,1.501682e+03
5,100,70,1.501682e+03
5,100,80,1.501682e+03
5,100,90,1.501682e+03
5,100,100,1.501682e+03
